green_name,name,request_time,control_id,pattern,cross_id,cycle_len,ring_count,offset,cycle_list,phase_list,over_lap_phase_list,sink_time,相位与方向的对应关系,阶段方向描述,阶段时间
经十路（舜耕路-山大路）,经十路-舜耕路,2026-04-01 00:01:30,228849,46,13MOD0B5SI0,120.0,3.0,41.0,"{""Cycle2"":""6 5_11 7_""，""Cycle3"":""8_14_""，""Cycle1"":""2 1_4 3_""}","[{""minGTime"":""14 25 10 20 14 40 14 10 7 8 20 5 14 12 14 7""，""maxGTime"":""60 45 60 40 60 45 60 60 60 60 40 60 60 60 60 60""，""greenTime"":""17 42 17 32 17 42 17 62 0 0 32 0 0 52 0 0""，""yellowTime"":""3 3 3 3 3 3 3 3 0 0 3 0 0 3 0 0""，""redTime"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""concurrent"":""2992 2992 62528 62528 2947 2947 61452 51 51 51 61452 51 1100 1100 1100 1100""，""channelDim"":""97 3362 1 66 33 19810 65 0 0 0 8 0 0 0 0 0""，""direction"":""23 35 17 37 19 39 21 0 0 0 97 0 0 0 0 0""}]","[{""modifierPhases"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""includedPhases"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""direction"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""}]",2026-04-01 00:01:31,"{""1"": ""西左"", ""2"": ""东直北行人"", ""3"": ""北左"", ""4"": ""南直"", ""5"": ""东左"", ""6"": ""西直南行人"", ""7"": ""南左"", ""11"": ""北直右""}","[[""东直"", ""西直"", ""北行人"", ""南行人""], [""西左"", ""东左""], [""南直"", ""北直右""], [""北左"", ""南左""]]","[45, 20, 35, 20]"
经十路（洪山路-舜华路）,经十路-奥体中路,2026-04-01 00:01:30,315953,1,13NM40B6010,130.0,3.0,45.0,"{""Cycle2"":""5 7 9_12_""，""Cycle3"":""6_8_""，""Cycle1"":""1 2_3_""}","[{""minGTime"":""3 7 7 3 7 14 3 14 5 0 0 3 0 0 0 0""，""maxGTime"":""60 60 60 60 60 60 60 60 60 0 0 60 0 0 0 0""，""greenTime"":""52 22 34 0 57 87 15 37 12 0 0 40 0 0 0 0""，""yellowTime"":""3 3 3 0 3 3 0 3 3 0 0 0 0 0 0 0""，""redTime"":""5 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0""，""concurrent"":""368 368 2176 2176 35 339 35 2060 35 0 0 140 0 0 0 0""，""channelDim"":""6425634 24930 1634558465 1634558500 98 2850 0 0 36 0 0 0 0 0 0 0""，""direction"":""10019 5927 1517329 1517443 39 35 0 0 131 0 0 0 0 0 0 0""}]","[{""modifierPhases"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""includedPhases"":""264 15 12 14 0 0 0 0 0 0 0 0 0 0 0 0""，""direction"":""36 98 109 97 0 0 0 0 0 0 0 0 0 0 0 0""}]",2026-04-01 00:01:30,"{""1"": ""东直西直北出行"", ""2"": ""西左西直"", ""3"": ""北左西左西直西行人"", ""4"": ""东掉西左西直西行人"", ""5"": ""西直"", ""6"": ""东直北入行"", ""9"": ""东掉""}","[[""东直"", ""西直"", ""西直"", ""东直"", ""北出行"", ""北入行""], [""西左"", ""西直"", ""东直"", ""北入行""], [""西左"", ""西直"", ""东掉"", ""东直"", ""北入行""], [""北左"", ""西左"", ""西直"", ""西行人""]]","[60, 15, 15, 40]"
经十路（洪山路-舜华路）,经十路-转山西路,2026-04-01 00:01:30,805909,1,13NG90B5V90,130.0,2.0,48.0,"{""Cycle2"":""5 6_7_""，""Cycle1"":""1 2_3_""}","[{""minGTime"":""35 12 35 3 20 12 20 3 3 3 7 1 0 0 0 0""，""maxGTime"":""45 20 45 60 40 20 40 60 60 60 60 60 0 0 0 0""，""greenTime"":""60 12 49 0 60 12 49 0 0 0 0 0 0 0 0 0""，""yellowTime"":""3 3 3 0 3 3 3 0 0 0 0 0 0 0 0 0""，""redTime"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""concurrent"":""2224 2224 576 2224 1035 1035 260 1035 576 260 2224 1035 0 0 0 0""，""channelDim"":""19810 8485 0 0 3106 97 2977094 0 0 11629 0 0 0 0 0 0""，""direction"":""39 5011 0 0 35 23 53 0 0 0 0 0 0 0 0 0""}]","[{""modifierPhases"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""includedPhases"":""2 576 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""direction"":""33 27949 0 0 0 0 0 0 0 0 0 0 0 0 0 0""}]",2026-04-01 00:01:30,"{""1"": ""西直南行人"", ""2"": ""东左东左掉"", ""5"": ""东直北出行"", ""6"": ""西左"", ""7"": ""南直左东行人西行人"", ""10"": ""东行人西行人""}","[[""西直"", ""东直"", ""南行人"", ""北出行""], [""东左"", ""东左掉"", ""西左""], [""南直左"", ""东行人"", ""西行人""]]","[63, 15, 52]"
奥体中路（天辰路-解放东路）,奥体中路-新泺大街,2026-04-01 00:01:30,835963,22,13NKQ0B63Q0,100.0,3.0,7.0,"{""Cycle2"":""6 7_2_""，""Cycle3"":""9_11_""，""Cycle1"":""5 8_1_""}","[{""minGTime"":""14 14 14 14 14 14 14 14 14 14 1 14 0 0 0 0""，""maxGTime"":""60 60 60 60 60 60 60 60 60 60 60 60 0 0 0 0""，""greenTime"":""27 27 0 0 47 47 17 17 70 0 30 0 0 0 0 0""，""yellowTime"":""3 3 0 0 3 3 3 3 0 0 0 0 0 0 0 0""，""redTime"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""concurrent"":""3078 3081 3081 3078 864 912 912 864 240 240 15 15 0 0 0 0""，""channelDim"":""19810 3362 97 33 27906 11586 1 65 0 0 0 0 0 0 0 0""，""direction"":""39 35 23 19 33 37 17 21 0 0 0 0 0 0 0 0""}]","[{""modifierPhases"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""includedPhases"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""direction"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""}]",2026-04-01 00:01:31,"{""1"": ""西直南行人"", ""2"": ""东直北行人"", ""3"": ""西左"", ""4"": ""东左"", ""5"": ""北直西行人"", ""6"": ""南直东行人"", ""7"": ""北左"", ""8"": ""南左""}","[[""北直"", ""南直"", ""西行人"", ""东行人""], [""南左"", ""北左""], [""西直"", ""东直"", ""南行人"", ""北行人""]]","[50, 20, 30]"
经十路（洪山路-舜华路）,经十路-奥体东路,2026-04-01 00:01:31,467627,1,13NOT0B5VV0,130.0,2.0,110.0,"{""Cycle2"":""5 10_7 8_""，""Cycle1"":""1 9_3 4_""}","[{""minGTime"":""45 1 35 2 45 1 35 2 10 10 2 2 0 0 0 0""，""maxGTime"":""50 60 50 60 50 60 50 60 20 20 60 60 0 0 0 0""，""greenTime"":""65 0 39 3 65 0 39 3 14 14 0 0 0 0 0 0""，""yellowTime"":""3 0 3 0 3 0 3 0 3 3 0 0 0 0 0 0""，""redTime"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""concurrent"":""2608 2608 192 192 1283 1283 12 12 2608 1283 2608 1283 0 0 0 0""，""channelDim"":""19810 0 27905 0 3362 0 11585 0 8545 101 0 0 0 0 0 0""，""direction"":""39 0 17 0 35 0 21 0 4887 151 0 0 0 0 0 0""}]","[{""modifierPhases"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""includedPhases"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""direction"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""}]",2026-04-01 00:01:31,"{""1"": ""西直南行人"", ""3"": ""北左西行人"", ""5"": ""东直北行人"", ""7"": ""南左东行人"", ""9"": ""东左西左"", ""10"": ""西左掉""}","[[""西直"", ""东直"", ""南行人"", ""北行人""], [""东左"", ""西左"", ""西左掉""], [""北左"", ""南左"", ""西行人"", ""东行人""], []]","[68, 17, 42, 3]"
经十路（舜耕路-山大路）,经十路-舜耕路,2026-04-01 05:01:30,228849,10,13MOD0B5SI0,180.0,3.0,85.0,"{""Cycle2"":""5 6 13_7 11_""，""Cycle3"":""9 10 8 12_16 14 15_""，""Cycle1"":""1 2_3 4_""}","[{""minGTime"":""14 25 10 25 14 70 14 10 3 8 25 10 1 12 14 4""，""maxGTime"":""60 45 60 40 60 95 60 60 60 60 40 60 60 60 60 60""，""greenTime"":""26 75 24 37 26 74 24 40 7 19 37 32 1 20 37 4""，""yellowTime"":""3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3""，""redTime"":""3 0 3 0 3 0 3 0 0 0 0 0 0 0 0 0""，""concurrent"":""7088 7088 58432 58432 2947 2947 57356 4147 4147 4147 57356 4147 2947 1100 1100 1100""，""channelDim"":""97 3362 1 11586 33 19810 65 0 9059 0 27912 835 0 0 9059 67""，""direction"":""23 35 17 37 19 39 21 0 17223 0 97 16709 0 0 17223 69""}]","[{""modifierPhases"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""includedPhases"":""16640 34816 2048 1024 8 0 0 0 0 0 0 0 0 0 0 0""，""direction"":""25379 67 3 109 45 0 0 0 0 0 0 0 0 0 0 0""}]",2026-04-01 05:01:30,"{""1"": ""西左"", ""2"": ""东直北行人"", ""3"": ""北左"", ""4"": ""南直东行人"", ""5"": ""东左"", ""6"": ""西直南行人"", ""7"": ""南左"", ""9"": ""东右西右"", ""11"": ""北直右西行人"", ""12"": ""北右南右"", ""15"": ""东右西右"", ""16"": ""南右""}","[[""西左"", ""东左"", ""东右"", ""西右""], [""西左"", ""东左""], [""东直"", ""西直"", ""北行人"", ""南行人""], [""东直"", ""西直"", ""北右"", ""南右"", ""北行人"", ""南行人""], [""东直"", ""北右"", ""南右"", ""北行人""], [""北左"", ""南左"", ""南右""], [""北左"", ""南左""], [""南直"", ""北直右"", ""东右"", ""西右"", ""东行人"", ""西行人""]]","[10, 22, 43, 34, 1, 7, 23, 40]"
经十路（洪山路-舜华路）,经十路-奥体中路,2026-04-01 05:01:30,315953,4,13NM40B6010,180.0,3.0,68.0,"{""Cycle2"":""5 7 9_12_""，""Cycle3"":""6_8_""，""Cycle1"":""2 1_4 3_""}","[{""minGTime"":""3 7 7 3 7 14 3 14 5 0 0 3 0 0 0 0""，""maxGTime"":""60 60 60 60 60 60 60 60 60 0 0 60 0 0 0 0""，""greenTime"":""72 37 38 8 92 122 16 52 11 0 0 55 0 0 0 0""，""yellowTime"":""3 3 3 3 3 3 0 3 3 0 0 0 0 0 0 0""，""redTime"":""5 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0""，""concurrent"":""368 368 2176 2176 35 339 35 2060 35 0 0 140 0 0 0 0""，""channelDim"":""6425634 24930 1634558465 1634558500 98 2850 0 0 36 0 0 0 0 0 0 0""，""direction"":""10019 5927 1517329 1517443 39 35 0 0 131 0 0 0 0 0 0 0""}]","[{""modifierPhases"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""includedPhases"":""264 15 12 14 0 0 0 0 0 0 0 0 0 0 0 0""，""direction"":""36 98 109 97 0 0 0 0 0 0 0 0 0 0 0 0""}]",2026-04-01 05:01:30,"{""1"": ""东直西直北出行"", ""2"": ""西左西直"", ""3"": ""北左西左西直西行人"", ""4"": ""东掉西左西直西行人"", ""5"": ""西直"", ""6"": ""东直北入行"", ""9"": ""东掉""}","[[""西左"", ""西直"", ""西直"", ""东直"", ""北入行""], [""东直"", ""西直"", ""西直"", ""东直"", ""北出行"", ""北入行""], [""东直"", ""西直"", ""东直"", ""北出行"", ""北入行""], [""东直"", ""西直"", ""东掉"", ""东直"", ""北出行"", ""北入行""], [""东掉"", ""西左"", ""西直"", ""西行人""], [""北左"", ""西左"", ""西直"", ""西行人""]]","[45, 50, 16, 14, 11, 44]"
旅游路（汉峪西路-凤凰路）,旅游路东段-舜华南路,2026-04-01 05:01:30,779836,16,13NU80B5RI0,140.0,2.0,54.0,"{""Cycle2"":""6 4_8_""，""Cycle1"":""1 5_7_""}","[{""minGTime"":""4 14 14 6 14 14 14 14 0 0 0 0 0 0 0 0""，""maxGTime"":""60 60 60 60 60 60 60 60 0 0 0 0 0 0 0 0""，""greenTime"":""27 0 0 27 62 62 42 42 0 0 0 0 0 0 0 0""，""yellowTime"":""3 0 0 3 3 3 3 3 0 0 0 0 0 0 0 0""，""redTime"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""concurrent"":""44 44 19 19 44 19 128 64 0 0 0 0 0 0 0 0""，""channelDim"":""578 0 0 24897 19810 3362 621 1631732013 0 0 0 0 0 0 0 0""，""direction"":""8485 0 0 5909 39 35 33 1516821 0 0 0 0 0 0 0 0""}]","[{""modifierPhases"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""includedPhases"":""136 129 65 136 0 0 0 0 0 0 0 0 0 0 0 0""，""direction"":""65 66 2 97 0 0 0 0 0 0 0 0 0 0 0 0""}]",2026-04-01 05:01:30,"{""1"": ""北直南直"", ""4"": ""南左西左"", ""5"": ""西直南行人"", ""6"": ""东直北行人"", ""7"": ""北直西行人"", ""8"": ""南左南直西左东行人""}","[[""北直"", ""南直"", ""东直"", ""北行人""], [""西直"", ""东直"", ""南行人"", ""北行人""], [""西直"", ""南左"", ""西左"", ""南行人""], [""北直"", ""南左"", ""南直"", ""西左"", ""西行人"", ""东行人""]]","[30, 35, 30, 45]"
舜华南路（旅游路-华茂路）,旅游路东段-舜华南路,2026-04-01 05:01:30,779836,16,13NU80B5RI0,140.0,2.0,54.0,"{""Cycle2"":""6 4_8_""，""Cycle1"":""1 5_7_""}","[{""minGTime"":""4 14 14 6 14 14 14 14 0 0 0 0 0 0 0 0""，""maxGTime"":""60 60 60 60 60 60 60 60 0 0 0 0 0 0 0 0""，""greenTime"":""27 0 0 27 62 62 42 42 0 0 0 0 0 0 0 0""，""yellowTime"":""3 0 0 3 3 3 3 3 0 0 0 0 0 0 0 0""，""redTime"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""concurrent"":""44 44 19 19 44 19 128 64 0 0 0 0 0 0 0 0""，""channelDim"":""578 0 0 24897 19810 3362 621 1631732013 0 0 0 0 0 0 0 0""，""direction"":""8485 0 0 5909 39 35 33 1516821 0 0 0 0 0 0 0 0""}]","[{""modifierPhases"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""includedPhases"":""136 129 65 136 0 0 0 0 0 0 0 0 0 0 0 0""，""direction"":""65 66 2 97 0 0 0 0 0 0 0 0 0 0 0 0""}]",2026-04-01 05:01:30,"{""1"": ""北直南直"", ""4"": ""南左西左"", ""5"": ""西直南行人"", ""6"": ""东直北行人"", ""7"": ""北直西行人"", ""8"": ""南左南直西左东行人""}","[[""北直"", ""南直"", ""东直"", ""北行人""], [""西直"", ""东直"", ""南行人"", ""北行人""], [""西直"", ""南左"", ""西左"", ""南行人""], [""北直"", ""南左"", ""南直"", ""西左"", ""西行人"", ""东行人""]]","[30, 35, 30, 45]"
经十路（洪山路-舜华路）,经十路-转山西路,2026-04-01 05:01:30,805909,4,13NG90B5V90,180.0,2.0,63.0,"{""Cycle2"":""5 6_7 10_""，""Cycle1"":""1 2_3_""}","[{""minGTime"":""35 12 35 3 20 12 20 3 3 3 7 1 0 0 0 0""，""maxGTime"":""45 20 45 60 40 20 40 60 60 60 60 60 0 0 0 0""，""greenTime"":""82 34 55 0 82 34 47 0 0 5 0 0 0 0 0 0""，""yellowTime"":""3 3 3 0 3 3 3 0 0 0 0 0 0 0 0 0""，""redTime"":""0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0""，""concurrent"":""2224 2224 576 2224 1035 1035 260 1035 576 260 2224 1035 0 0 0 0""，""channelDim"":""19810 8485 0 0 3106 97 2977094 0 0 11629 0 0 0 0 0 0""，""direction"":""39 5011 0 0 35 23 53 0 0 0 0 0 0 0 0 0""}]","[{""modifierPhases"":""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""includedPhases"":""2 576 0 0 0 0 0 0 0 0 0 0 0 0 0 0""，""direction"":""33 27949 0 0 0 0 0 0 0 0 0 0 0 0 0 0""}]",2026-04-01 05:01:30,"{""1"": ""西直南行人"", ""2"": ""东左东左掉"", ""5"": ""东直北出行"", ""6"": ""西左"", ""7"": ""南直左东行人西行人"", ""10"": ""东行人西行人""}","[[""西直"", ""东直"", ""南行人"", ""北出行""], [""东左"", ""东左掉"", ""西左""], [""南直左"", ""东行人"", ""西行人""], [""东行人"", ""西行人""]]","[85, 37, 50, 8]"
